cve_ent,poblacion,nombre,10-05-2020,11-05-2020,12-05-2020
1,1434635,AGUASCALIENTES,4,11,43
2,3634868,BAJA CALIFORNIA,69,130,125
3,804708,BAJA CALIFORNIA SUR,10,7,16
4,1000617,CAMPECHE,7,24,20
